file_index,file_name,timestep,dominant_mode,estimated_wave_number
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,18,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,19,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,20,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,21,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,22,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,23,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,24,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,25,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,26,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,27,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,28,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,29,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,30,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,31,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,32,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,33,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,34,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,35,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,36,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,37,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,38,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,39,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,40,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,41,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,42,"(0,1)",1.000
6,md_cg_h10p0_ct1p5_mp20p0_it0p9_cg21_mix_periodic_file6.mat,43,"(0,1)",1.000
